"","Lat_05","Hel_15","Cro_15","SpB_10","Fra_05","Cru_05","Sto_05","Abr_10","StA_10","Stb_05","intercept"
"5035",0,-5.38165645928319,-2.7515467233776,-892.796910380435,-0.0125783982227347,-1.87279292269343,-0.453525028766442,-3.86143903021622,-6.7405702688604,-1.22457872135637,-3.20471499235499
"5036",0,-5.02635975046264,-3.25458665899862,-1535.10258874207,0.269087463409522,-1.99386986339514,-1.00322816575567,-3.47832280166906,-5.95202257226227,-1.54138750683859,-3.11988680683809
"5037",0,-4.95394660831112,-3.66079305331474,-1429.83466033346,-0.18289820171382,-1.85690391614383,-0.504927380350395,-4.49077963579901,-6.14566250712349,-1.47105764023299,-2.71978694554136
"5038",0,-5.23360779826605,-3.82188180213848,-1319.12951710258,-0.375988324742603,-2.02698022288521,-0.550162990748007,-3.78041732305334,-3.70311284161735,-1.60401452357305,-2.71797570189377
"5039",0,-4.11356675195131,-3.78047914474475,-2734.442149152,-0.642244713357424,-1.81099775771379,-0.467415285445618,-3.89773441248279,-3.92075768398952,-1.15189935498743,-2.67549430512785
"5040",0,-5.11340319614105,-3.40079496309955,-2107.56961500237,-0.724413974753933,-1.61963879919047,-0.474556482709124,-4.17627600215311,-7.52735419381134,-2.85166046633829,-2.92292226215688
"5041",0,-3.98758150197972,-3.30217227502116,-174.490907074106,-0.527668383562249,-1.6374210665667,-1.11408598889221,-4.12225738198438,-5.44795542932317,-2.37889973109452,-2.92000097593582
"5042",0,-4.40674877701831,-3.18472474266564,-364.592920913674,-0.591669846381864,-1.32629397722108,-0.204436633552169,-3.26838148624088,-3.90529886044986,-1.82267135465567,-2.87898158544074
"5043",0,-5.36720103086487,-3.48588683982416,-1852.43022538844,-0.361965693037607,-1.69796705028683,-1.00113417025726,-4.04869748637714,-5.83345887702407,-2.04026054024472,-2.84343912780732
"5044",0,-5.7594448744041,-3.35508989980567,-1940.98903345341,-0.167244753930247,-1.78123172628616,-0.965395395700912,-2.52262040946413,-4.54119257673421,-2.53723981915596,-2.85058679680098
"5045",0,-5.26090642032758,-3.32953793418274,-1920.21519548883,-0.157823744143832,-1.86879743209054,-1.24624039760469,-5.66044500137475,-4.84318499913171,-2.59165866778478,-2.75187116339969
"5046",0,-4.88350996947871,-3.21092940532824,-1675.22913688643,-0.148104595698733,-1.65019712005884,-0.611194066083225,-6.37016951508846,-5.64989080818974,-2.16544035951851,-2.73198150681306
"5047",0,-5.17916777952221,-4.28393544660198,-550.981126760258,-0.285101310930844,-1.95893357013643,-1.15012892214503,-2.53292404821771,-4.63272730820446,-1.91576838364171,-2.7230117546914
"5048",0,-4.51959436419847,-4.40662675009063,-391.354848226495,-0.234881116590475,-2.00493764320921,-1.1164298409326,-3.33748473311528,-5.64786497362648,-2.36178484560008,-2.68483599752724
