Longitude,Latitude,GravelD50,GravelPercent,MudPercent,OrbitalVelMax,OrbitalVelMean,Permeability,POC,Porosity,Rock10cm,Rock50cm,SandD50,SandPercent,SurfaceCarbon,SurfaceNitrogen,TidalVelMax,TidalVelMean,TN,TotalD50
2.8125,57.4375,4.612654686,0,2.655441761,0.354605854,0.040890187,2.52E-13,0.236855775,0.411321759,0.027046667,0.016524848,0.21009624,97.34455872,0.369494379,0.069214433,33.84839249,15.44194126,0.044368301,0.184731409
2.9375,57.4375,4.609204292,0,2.589715242,0.371137738,0.043349508,3.13E-13,0.231972426,0.408309758,0.028613333,0.024198182,0.2102198,97.41028595,0.363727927,0.068503141,33.86914063,15.74316883,0.043688808,0.193569526
3.0625,57.4375,4.597877979,0,2.401353359,0.4037624,0.048832681,3.67E-13,0.220222622,0.406216681,0.00654,0.010833333,0.210684866,97.59864807,0.346525967,0.064394452,34.01794434,16.06422806,0.04092367,0.200322896
3.1875,57.4375,4.584851742,0,2.20683074,0.422793657,0.051886104,4.08E-13,0.22267364,0.404866397,0.025166666,0.029664703,0.211394325,97.79316711,0.351179481,0.067090973,33.3847084,15.80583382,0.042540614,0.204983965
3.3125,57.4375,4.576755047,0,2.08868289,0.394239247,0.045988128,4.80E-13,0.205732301,0.40287599,0.005146667,0.013775555,0.211973503,97.91131592,0.325546384,0.063386977,33.39015961,15.79155636,0.040058032,0.212345272
3.4375,57.4375,4.609567165,0,2.596360922,0.397127151,0.045989688,5.62E-13,0.223775327,0.401043206,0.005326667,0.011569524,0.210206524,97.40364075,0.355184138,0.066139467,32.40668869,15.27510166,0.0416696,0.219706595
3.5625,57.4375,4.537248611,0,1.336513162,0.40001151,0.045993071,6.00E-13,0.224635437,0.400300264,0.009866667,0.02468,0.219934791,98.6634903,0.356991589,0.067042045,31.04403496,14.78137016,0.042185921,0.222868115
3.6875,57.4375,4.542480946,0,0.52248764,0.402647972,0.0458996,6.90E-13,0.198683187,0.398779452,0.00406,0.009869523,0.24442941,99.47751617,0.316548914,0.063549154,30.47841072,14.4517107,0.039886881,0.229693875
3.8125,57.4375,4.539762497,0,0.627494216,0.389442801,0.042882942,7.90E-13,0.223829389,0.397363544,0.00634,0.007793333,0.239799023,99.37250519,0.357452542,0.067718714,29.76450157,14.19944763,0.042404059,0.236519635
3.9375,57.4375,4.536185265,0,0.797541201,0.362380296,0.03759218,8.61E-13,0.23102513,0.396484673,0.007213333,0.026486667,0.233393118,99.20246124,0.36948207,0.070474416,28.62731361,13.88594532,0.04406536,0.241009697
4.0625,57.4375,4.539484501,0,1.411604285,0.36323297,0.037025455,1.20E-12,0.222152784,0.39334169,0.008073334,0.00871619,0.218693033,98.58839417,0.357142687,0.065815881,28.68423271,13.83569813,0.040939324,0.258925438
4.1875,57.4375,4.600869179,0,2.448412418,0.332378387,0.031598363,2.12E-12,0.262453586,0.388649851,0.003306667,0.009006667,0.210551038,97.55158997,0.425195247,0.072855525,27.94887733,13.95614147,0.044970386,0.29284066
4.3125,57.4375,4.623549461,0.006448964,3.221932411,0.339255512,0.032004476,2.37E-12,0.242233828,0.387803078,0.008213334,0.01278,0.209755003,96.7716217,0.392981231,0.06681104,27.48021317,13.81599712,0.041182362,0.300188363
4.4375,57.4375,4.590252876,0.098732553,2.197225332,0.333988309,0.030624986,1.05E-12,0.262749374,0.394555718,0.010214286,0.011561538,0.216304332,97.70404053,0.421562284,0.07158865,26.45412636,13.45761204,0.044619441,0.251631528
4.5625,57.4375,4.549061298,0.200911492,0.90590781,0.328827977,0.029305274,5.02E-13,0.234373376,0.4023453,0.008206666,0.010553333,0.240144566,98.89318085,0.371197015,0.063862465,25.53528595,12.9741993,0.040322684,0.214415908
4.6875,57.4375,4.545809269,0.171141922,0.999048889,0.301591307,0.025075672,3.92E-13,0.253622591,0.405376017,0.01483381,0.016935728,0.235987529,98.8298111,0.399646729,0.065399721,25.52972603,13.36899662,0.041503772,0.203195021
4.8125,57.4375,4.541442394,0.105659544,1.191131949,0.307734519,0.025373422,4.12E-13,0.278247327,0.404735476,0.006964569,0.008178788,0.228087753,98.70320892,0.438921511,0.070421919,24.71799469,12.83029079,0.044642858,0.205449596
4.9375,57.4375,4.537556171,0.025345035,1.280186057,0.303108871,0.024287265,6.24E-13,0.268688321,0.399865866,0.00748,0.01048,0.222245574,98.69446564,0.42730996,0.066923186,25.37910843,12.95117378,0.042080648,0.224767834
5.0625,57.4375,4.533893108,0,1.124994874,0.309260726,0.02458171,9.96E-13,0.265272737,0.395061076,0.006133333,0.009026667,0.224172115,98.87500763,0.425255567,0.065912247,25.1003933,12.44515514,0.041115798,0.248739809
5.1875,57.4375,4.539089203,0.008917811,0.685881555,0.321187228,0.025602669,1.70E-12,0.267484099,0.390352428,0.023507142,0.02746,0.237921432,99.30519867,0.432138205,0.068310857,24.97502518,12.16599464,0.042282924,0.279324174
5.3125,57.4375,4.547593117,0.201797321,1.156448483,0.289781988,0.021311525,2.98E-12,0.301306665,0.38619414,0.032249156,0.034261864,0.233629525,98.64175415,0.490101039,0.072788917,24.02075195,11.51872826,0.044749517,0.315497696
5.4375,57.4375,4.618340492,0.528300464,2.21719265,0.295623034,0.021565162,4.93E-12,0.311366349,0.383070469,0.012213334,0.01680381,0.236099929,97.25450897,0.509041369,0.073413238,23.73811531,12.02894592,0.044904821,0.351671219
5.5625,57.4375,4.690096855,1.278126597,3.759102345,0.296534121,0.021214791,7.74E-12,0.336878777,0.380658329,0.001753333,0.007620953,0.260398149,94.96276855,0.552904129,0.074982226,22.80016518,10.99464607,0.045685899,0.387844741
5.6875,57.4375,4.582988262,2.076218128,5.140155315,0.301904976,0.021394122,1.17E-11,0.385497779,0.378752589,0.009993333,0.009211111,0.278412789,92.78362274,0.634647191,0.080085643,24.70149422,11.87711811,0.048645671,0.424018264
5.8125,57.4375,4.662069798,2.094710827,4.624107838,0.311581999,0.022125099,1.68E-11,0.400641233,0.377260804,0.001853333,0.00364,0.282414287,93.28118134,0.66116178,0.07980521,24.23059654,10.7723856,0.048359204,0.459069729
5.9375,57.4375,4.742546558,1.97754252,3.777938366,0.3216573,0.022903081,1.89E-11,0.429528534,0.376831561,0.008553334,0.012390769,0.281854987,94.24452209,0.709321856,0.081543393,23.82686424,10.84141445,0.049378451,0.470585108
6.0625,57.4375,4.719506741,1.367494464,3.141439199,0.314928561,0.021753591,1.65E-11,0.460316658,0.377340764,0.022597143,0.028424103,0.264995813,95.49106598,0.759544075,0.083798319,23.2876339,10.76160908,0.050785415,0.457002729
